population;region
1967000;Autonomous Republic of Crimea
1181860;Cherkasy
980290;Chernihiv
897922;Chernivtsi
2964448;Kyiv 
3150407;Dnipropetrovs'k
4106841;Donets'k
1363269;Ivano-Frankivs'k
2640023;Kharkiv
1019829;Kherson
1246862;Khmel'nyts'kyy
923254;Kirovohrad
1788660;Kiev
2124316;Luhans'k
2501502;L'viv
1111301;Mykolayiv
2371236;Odessa
1375491;Poltava
1150037;Rivne
1056779;Sumy
1032714;Ternopil'
1533014;Vinnytsya
1028781;Volyn
1251479;Zakarpattia
1671748;Zaporizhzhya
1198749;Zhytomyr
